_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
577,Krabi Natural Gas/Deisel,Mixed Fossil Fuel,Operational,315,2004,,Thailand,EGAT (Thailand),,,, ,Thailand,Krabi,Nua Khlong,,Coastal Rivers Krabi,7.99472,99.0431, , ,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=38, ,,0101000020E6100000F085C954C1C2584065726A6798FA1F40
578,Krabi Power Plant,Coal,Planned,800,2021,,Thailand,EGAT (Thailand),,,Thailand; Italy; China,Italian Thai Development Plc (Thailand); Power Construction Corporation of China (China),Thailand,Krabi,Muang Krabi,,Coastal Rivers Krabi-Phukhet-Phangnga,8.05917,98.9189, , ,,Electricity Generating Authority of Thailand,https://www.bangkokpost.com/business/news/1273235/costs-set-to-torpedo-krabi-power-deals, ,,0101000020E6100000C6A70018CFBA58403F0114234B1E2040
579,Krakor 60 MW Solar (SchneiTec),Solar,Operational,60,2020,,Cambodia; China,SchneiTec Group,,,, ,Cambodia,Pursat,Krakor,,Tonle Sap core floodplain (no identified tributaries),12.5492,104.205,"Actual location unknown, currently sited at locality in link/announcement", ,,AKP Phnom Penh,https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/, https://www.akp.gov.kh/post/detail/7428,12:28:20,0101000020E61000009A779CA2230D5A40614F3BFC35192940
580,Krong H'Nang,Hydro,Operational,64,2011,,Vietnam,EVN (Vietnam),,,, ,Vietnam,Phú Yên,Sông Hinh,,Krong Hnang,12.9567,108.707, , ,,Wikipedia, http://icon.com.vn/vn-s83-101633-641/-Khanh-thanh-Nha-may-thuy-dien-Krong-H%E2%80%99nang.aspx, ,12:21:20,0101000020E6100000B7627FD93D2D5B40EF2076A6D0E92940
581,Krong Kmar,Hydro,Operational,12,2008,,Vietnam,Song Da Investment and Development JSC,,,, ,Vietnam,Đắk Lắk,Krông Bông,,Srepok,12.452,108.337, ,60000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-kmar-Hydropower, ,,0101000020E6100000840D4FAF94155B408195438B6CE72840
582,Krong No 2 (Thủy điện Krong No 2),Hydro,Operational,30,2017,,Vietnam,Trungnam Krong No (Vietnam),Vietnam,Saigon Hanoi Commercial Joint Stock Bank (Vietnam),, ,Vietnam,Lâm Đồng,Lạc Dương,,Srepok,12.2429,108.342, ,105870,,Sponsor Website,https://baodautu.vn/khanh-thanh-cong-trinh-thuy-dien-krong-no-2-tong-von-dau-tu-1408-ty-dong-d57270.html,https://www.trungnamgroup.com.vn/en-US/krong-no-2-hydropower-plant,12:21:20,0101000020E610000038D73043E3155B4015747B49637C2840
583,Krong No 3,Hydro,Operational,18,2016,,Vietnam,Trung Nam Power,,,, ,Vietnam,Lâm Đồng,Đam Rông,,Srepok,12.2117,108.285, ,63500,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-no-3-Hydropower, ,,0101000020E6100000F54A598638125B405C2041F1636C2840
584,Krong Pa 2 (Nhà máy điện mặt trời Krong Pa 2),Solar,Operational,49,2018,,Vietnam,Gia Lai Electricity Joint Stock Company - a TTC Group subsidiary (Vietnam),Singapore; World Bank Group,International Finance Corporation - World Bank (15%); Armstrong Asset Management - Singapore (20.05%),Japan,JGC Vietnam - a JGC Corp subsidiary (Japan),Vietnam,Gia Lai,Krông Pa,,Song Da Rang-Song Ba,13.2305,108.674,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database,"http://www.jgc.com/en/DisplayHtml/view/249, https://asia.nikkei.com/Business/Companies/Vietnam-utility-places-solar-plant-order-with-Japan-s-JGC: This project will build one of the largest mega-solar power generation in Vietnam",http://nangluongvietnam.vn/news/vn/dien-hat-nhan-nang-luong-tai-tao/gia-lai-trao-quyet-dinh-dau-tu-cho-2-du-an-dien-mat-troi.html,,0101000020E6100000091B9E5E292B5B40126BF12900762A40
585,Kui Buri Solar Power Plant,Solar,Operational,10,,,Thailand,"Bangkok Solar Power Company, Ltd.",,,, ,Thailand,Prachuap Khiri Khan,Kui Buri,,Coastal Rivers Prachuap Khiri Khan-Chumphon,12.0473,99.829, ,13336.54,,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project, ,,0101000020E6100000931804560EF558409C33A2B437182840
586,"Kumphawapi Sugar Co., Ltd",Biomass,Unknown,6,,,Thailand,"Kumphawapi Sugar Co., Ltd",,,, ,Thailand,Udon Thani,Kumphawapi,,Mun-Chi,17.1007,103.024, , ,,EGAT PDP,Bagasse,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,,0101000020E6100000A8C64B3789C159406F1283C0CA193140
587,Kun Chaung,Hydro,Operational,60,2012,,Myanmar,MEPE (Myanmar),,,China,CHMC (China),Myanmar,Bago,Taungoo,,Kya,18.4204,96.3639, , ,,Myanmar Institute for Peace and Security,https://www.banktrack.org/download/china_in_burma_the_increasing_investment_of_chinese_multinational_corporations_in_burma_s_hydropower_oil_and_natural_gas_and_mining_sectors/china_in_burma_pr_30092008_updatefinal.pdf; https://www.ifc.org/wps/wcm/connect, ,,0101000020E610000093A982514917584032384A5E9D6B3240
588,Kun Long (Upper Thanlwin),Hydro,Postponed,1400,,,China; Myanmar,"Hanergy Yunnan (China), Myanmar Pyi San Htar Group (Myanmar)",,,, ,Myanmar,Shan,Kunlong,,Salween Mainstem,23.5317,98.6111, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl; https://www.mmtimes.com/business/15422-kunlong-hydro-project-delayed-over-security-concerns.html, ,03:31:20,0101000020E61000008C101E6D1CA75840AA436E861B883740
589,Kwai Noi Bumrung Dan Dam,Hydro,Operational,30,,,Thailand,EGAT (Thailand),,,, ,Thailand,Phitsanulok,Wat Bot,,Nan,17.1856,100.412, , ,, ,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=484 ; https://cdm.unfccc.int/Projects/DB/RWTUV1421667897.26/view, ,,0101000020E610000051DA1B7C611A59401D7233DC802F3140
590,Kwanchangone / Kungyan Gone (Stage I II III),Coal,Planned,3270,,,Myanmar,Kaung Myat Thaw Myae Co. Ltd. (Myanmar),,,, ,Myanmar,Yangon,Yangon-S,,Irrawaddy Mainstem and Delta,16.4344,95.9848,"Actual location unknown, currently sited at locality in link/announcement", ,,Global Energy Monitor,https://endcoal.org/tracker/; https://www.sourcewatch.org/index.php/Kungyan_Gone_power_station, ,,0101000020E6100000CC5D4BC807FF5740BA66F2CD366F3040
591,Kyaukphu (PowerChina),Gas,Planned,135,2020,,China; Myanmar,"Power Construction Corp (China), Supreme Group (Myanmar)",,,China,Power Construction Corp (China),Myanmar,Rakhine,Kyaunkpyu,,Coastal Rivers Central Rakhine,19.4138,93.5038,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.moee.gov.mm/en/index.php/ignite/contentView/1114; http://www.vdb-loi.com/wp-content/uploads/2018/01/Myanmar-Somewhat-Unexpectedly-Signs-4-Major-LNGGas-to-Power-Projects.pdf; https://www.ccifrance-myanmar.org/en/news/ceremony-held-for-lng-proj, ,,0101000020E61000000AD7A3703D605740E010AAD4EC693340
592,Kyaukphyu,Coal,Planned,1320,,,Myanmar; South Korea,"MCM Energy (Myanmar), Daewoo Company (South Korea), Ministry of Electric Power (Myanmar)",,,, ,Myanmar,Rakhine,Kyaunkpyu,,Coastal Rivers Central Rakhine,19.2662,93.7098,"Actual location unknown, currently sited at locality in link/announcement", ,,Global Energy Monitor,https://endcoal.org/tracker/; https://www.sourcewatch.org/index.php/Kyaukphyu_power_station, ,,0101000020E6100000A56B26DF6C6D5740F931E6AE25443340
593,Kyaukpyu (V-Power),Gas,Operational,90,2015,,"Hong Kong, China",V-Power Co. Ltd (Hong Kong),,,, ,Myanmar,Rakhine,Kyaunkpyu,,Coastal Rivers Central Rakhine,19.4034,93.4961, , ,,"Ministry of Electricity and Energy, Republic of the Union of Myanmar",https://moee.gov.mm/en/ignite/page/58; https://www.mmbiztoday.com/articles/vpower-bags-two-more-gas-power-projects-myanmar; http://www.myanmarinsider.com/vpower-signed-with-myanma-electric-power-enterprise/; http://vpower.com/distributed-power-station-re, ,,0101000020E610000044FAEDEBC05F5740D734EF3845673340
594,Kyaukse (APR),Gas,Operational,102,2014,,Myanmar,MEPE (Myanmar),,,USA,Alstom Power Rental Energy Holding Co. (USA),Myanmar,Mandalay,Kyaukse,,Myitnge,21.5997,96.2126, , ,,Myanmar Institute for Peace and Security,"https://moee.gov.mm/en/ignite/page/289, https://asian-power.com/ipp/news/road-mandalay-apr-energy%E2%80%99s-100mw-thermal-power-plant-in-myanmar-now-operational; https://www.irrawaddy.com/news/rangoon-electricity-tender-awarded-to-murky-consortium.html;", ,,0101000020E61000004BC8073D9B0D5840D3C1FA3F87993540
595,Kyaukse (NIHC),Gas,Operational,145,2019,,Myanmar,"PowerGen Kyaukse Co, Ltd (Myanmar), National Infrastructure Holding Co (Myanmar), Myanmar Chemical and Machinery (Myanmar)",,,China,"SEPCOIII Electric Power Construction, wholly owned subsidiary of Power Construction Corp. (China)",Myanmar,Mandalay,Kyaukse,,Myitnge,21.6704,96.1525, , ,,Myanmar Institute for Peace and Security,https://www.mmtimes.com/news/gas-power-plant-mandalay-be-ready-next-february.html; https://www.mmtimes.com/news/gas-fired-plant-kyaukse-be-built.html; http://www.nihcmm.com/new-projects; https://www.lngworldnews.com/wartsila-to-deliver-gas-fired-power-pl, ,,0101000020E6100000C0E78711C2095840EB8B84B69CAB3540
596,Kyauktan,Coal,Cancelled,1300,,,Myanmar; India; Singapore,"Kyauktan Project (Diamond Palace Services Orange (Myanmar), Powergen (India), Global Adviser (Singapore), Ministry of Electric Power (Myanmar))",,,, ,Myanmar,Yangon,Yangon-S,,Irrawaddy Mainstem and Delta,16.6381,96.3228,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.sourcewatch.org/index.php/Kyauktan_power_station, ,,0101000020E610000062F3716DA8145840C1E270E657A33040
597,Kyi Ohn Kyi Wa (Kyee Ohn Kyee Wa),Hydro,Operational,74,2012,,Myanmar,MEPE (Myanmar),,,China,Guangdong New Technology Import Export Zhuhai Co (China),Myanmar,Magway,Minbu,,Mon,20.331,94.416, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES, ,,0101000020E6100000B4C876BE9F9A5740DBF97E6ABC543440
598,Kyunchaung,Gas,Operational,54.3,1974,,Myanmar,MOEP (Myanmar),,,, ,Myanmar,Magway,Pakokku,,Irrawaddy Mainstem and Delta,21.03,94.418, , ,,Myanmar Institute for Peace and Security,http://www.moee.gov.mm/en/ignite/page/291, ,,0101000020E6100000986E1283C09A574048E17A14AE073540
599,La Hieng 2,Hydro,Operational,18,2015,,Vietnam,VRG Phu Yen JSC.,,,, ,Vietnam,Phú Yên,Đồng Xuân,,Song Go Duoi,13.5017,108.85, ,68000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/la-hieng-2-Hydropower, ,,0101000020E61000006666666666365B4070CE88D2DE002B40
600,Lac Hoa Soc Trang wind farm,Wind,Planned,30,2021,,Vietnam,Renewable Energy JSC Vinh Chau-TDC,,,China; USA,PowerChina Huadong Engineering Corporation; GE Renewable Energy,Vietnam,Sóc Trăng,Vĩnh Châu,,Vietnam Mekong Delta,9.37234,106.074,"Actual location unknown, currently sited at locality in link/announcement",100000,,Sponsor Website,,https://www.ge.com/news/press-releases/ge-renewable-energy-strengthens-its-position-vietnam-two-projects-totaling-60-mw,09:29:20,0101000020E61000009FAD8383BD845A40772E8CF4A2BE2240
