_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
1021,Nam Tha 3,Hydro,Operational,1.25,2011,,Laos,EDL (Laos),,,Laos,"Communal Development, Construction and Electricity Company Ltd",Laos,Louang Namtha,Namtha,,Nam Tha,21.034,101.407, , ,,"Ministry of Energy and Mines, Lao PDR",https://www.industryabout.com/country-territories-3/2067-laos/hydro-energy/31474-nam-tha-3-dam, ,,0101000020E61000004BEA0434115A5940FFB27BF2B0083540
1022,Nam Tha Hat Mouk,Hydro,Planned,14,,,,,,,, ,Laos,Bokeo,Pha Oudom,,Nam Tha,20.2914,100.706,"Actual location unknown, currently sited at locality in link/announcement", ,,World Bank,MOU signed; http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPDRHydropowerMappingInceptionReportWBESMAPJuly.pdf; http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPD, ,,0101000020E61000003E7958A8352D5940A661F888984A3440
1023,Nam The,Hydro,Planned,15,,,,,,,, ,Laos,Phôngsali,Phongsaly,,Nam Ou,21.6447,102.092,"Actual location unknown, currently sited at locality in link/announcement", ,,World Bank,http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPDRHydropowerMappingInceptionReportWBESMAPJuly.pdf, ,,0101000020E6100000EE5A423EE88559404C6C3EAE0DA53540
1024,Nam Theun 1,Hydro,Under Construction,670,2022,,Thailand,Pongsak Group,China,China BFI,China,Power Construction Corp,Laos,Bolikhamxai,Pakkading,,Nam Kading-Xe Bang Fai combined,18.3567,104.148, , ,,"Ministry of Energy and Mines, Lao PDR",https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E6100000B6F3FDD478095A40888043A8525B3240
1025,Nam Theun 2,Hydro,Operational,1075,2010,,France; Thailand; Laos,"EDF 35 PCT, EGCO 25 PCT, LHSE 25 PCT, ITD 15 PCT",World Bank Group; ADB,"World Bank Group, ADB",France,EDF,Laos,Bolikhamxai,Khamkheuth,,Nam Kading-Xe Bang Fai combined,17.9974,104.952, , ,,"Ministry of Energy and Mines, Lao PDR",https://en.wikipedia.org/wiki/Nam_Theun_2_Dam, ,,0101000020E6100000C5FEB27BF23C5A4065AA605452FF3140
1026,Nam Theun 4,Hydro,Planned,80,,,Laos,SSPT Lao Construction Design (Laos),,,, ,Laos,Bolikhamxai,Khamkheuth,,Nam Kading-Xe Bang Fai combined,18.6659,104.778, , ,,"Ministry of Energy and Mines, Lao PDR","Signed MOU 26/6/2013, passed 12/5/2014; https://wle-mekong.cgiar.org/feasibility-study-begins-on-nam-theun-4-dam-in-laos/", ,,0101000020E6100000D26F5F07CE315A402619390B7BAA3240
1027,Nam Theun Kaeng Seuaten,Hydro,Planned,54,,,Laos,EDL (Laos),,,, ,Laos,Bolikhamxai,Khamkheuth,,Nam Kading-Xe Bang Fai combined,18.1742,104.772, , ,,"Ministry of Energy and Mines, Lao PDR",confirmed http://www.meti.go.jp/meti_lib/report/H28FY/000040.pdf, ,,0101000020E610000013F241CF66315A406AFB57569A2C3240
1028,Nam Thien,Hydro,Operational,,2001,,,,,,, ,Laos,Xaignabouri,Xayabury,,Nam Huong,19.2283,101.666, , ,,WLE Mekong,https://wle-mekong.cgiar.org, ,,0101000020E6100000516B9A779C6A5940FC00A436713A3340
1029,Nam Tim,Hydro,Planned,9,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1030,Nam To,Hydro,Planned,5,,,Laos,Vientiane Automobile and SM Engineering Company Ltd (Laos),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 17/9/2010, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1031,Nam Tong,Hydro,Planned,8.4,,,Thailand,Wansomai Songserm Painting Company (Thailand),,,, ,Laos,Louang Namtha,Namtha,,Nam Tha,21.0081,101.407,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 8/11/2012, ,,0101000020E610000099BB96900F5A594099BB96900F023540
1032,Nam Tong,Hydro,Planned,5,,,Thailand,Duangtavorn Construction Development Company Ltd (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 30/6/2012, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1033,Nam Toong,Hydro,Under Construction,34,,,Vietnam,Sa Pa Northern Electrical Development (Vietnam),,,China,"Zhejiang Hydropower Construction and Installation Co., Ltd (China)",Vietnam,Lào Cai,Sa Pa,,Red Mainstem and Delta,22.2844,103.932, , ,,Vietnam Electricity,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1343185387.3/view", ,,0101000020E61000006B9A779CA2FB59407FFB3A70CE483640
1034,Nam Tow,Hydro,Planned,5,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1035,Nam Tow,Hydro,Planned,12,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1036,Nam Tow 4 Tornteng,Hydro,Planned,1,,,Thailand,SVT (Laos) and Daosavan Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 11/1/2013, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1037,Nam Toy,Hydro,Planned,15,,,Thailand,"Songmi Construction, Design, Hydropower and Transport Company (Thailand)",,,, ,Laos,Phôngsali,Boontai,,Nam Ou,21.4453,101.982,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 12/5/2014, ,,0101000020E610000050FC1873D77E59401990BDDEFD713540
1038,Nam Trum,Hydro,Planned,0.01,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1039,Nam Trum (Torn Lum),Hydro,Planned,5,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1040,Nam Tu (Hsipaw),Hydro,Planned,100,,,China,"Natural Current Energy Hydropower Co., Ltd. (China)",,,, ,Myanmar,Shan,Kyaukme,,Myitnge,22.7209,97.3194, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl, ,,0101000020E6100000B554DE8E70545840D4601A868FB83640
1041,Nam Tum 1,Hydro,Planned,15,,,Thailand,Thongcharoen Construction Development Company (Thailand),,,, ,Laos,Phôngsali,Phongsaly,,Nam Ou,21.6814,102.109,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 20/8/2013, ,,0101000020E61000001E166A4DF38659404AD235936FAE3540
1042,Nam Tum 2,Hydro,Planned,15,,,Thailand,Thongcharoen Construction Development Company (Thailand),,,, ,Laos,Phôngsali,Phongsaly,,Nam Ou,21.6814,102.109,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 20/8/2013, ,,0101000020E61000001E166A4DF38659404AD235936FAE3540
1043,Nam Tum 3,Hydro,Planned,15,,,Thailand,Thongcharoen Construction Development Company (Thailand),,,, ,Laos,Phôngsali,Phongsaly,,Nam Ou,21.6814,102.109,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 20/8/2013, ,,0101000020E61000001E166A4DF38659404AD235936FAE3540
1044,Nam Tung,Hydro,Planned,12.5,,,Thailand,Malinitacharoensai Construction (Thailand),,,, ,Laos,Bolikhamxai,Pakkading,,Mekong Mainstream - Lower,18.0153,104.316,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 26/10/2012, ,,0101000020E6100000151DC9E53F145A406B48DC63E9033240
1045,Nam Tung Torn Terng,Hydro,Planned,15,,,Thailand,LBSS Company (Thailand),,,, ,Laos,Bolikhamxai,Pakkading,,Mekong Mainstream - Lower,18.0153,104.316,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 15/5/2014, ,,0101000020E6100000151DC9E53F145A406B48DC63E9033240
1046,Nam Turm,Hydro,Planned,5,,,Thailand,Simsaluk Advising Company Ltd  (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 29/6/2012, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1047,Nam Wang,Hydro,Planned,5,,,Thailand,Pantaving Company (Thailand),,,, ,Laos,Xiangkhoang,Kham,,Nam Mat,19.6147,103.728,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 7/1/2014, ,,0101000020E6100000C3F5285C8FEE59407632384A5E9D3340
1048,Nam Wang,Hydro,Planned,1,,,Thailand,Bamtong Antay Company,,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 9/9/2014, ,,0101000020E61000006666666666065A40C1E270E657533440
1049,Nam Xa (Thủy điện Nậm Xá),Hydro,Operational,9.6,2015,,Vietnam,CÔNG TY CỔ PHẦN VÀ XÂY DỰNG LAM SƠN,,,, ,Vietnam,Sơn La,Mường La,,Black-Li Xian,21.4735,104.185, , ,,Vietnam Electricity,,http://www.lamsonvn.com/thuy-dien-nam-xa.html,12:21:20,0101000020E6100000F241CF66D50B5A40F0A7C64B37793540
1050,Nam Xam 4,Hydro,Planned,100,,,USA; Laos,"Simon Consulting Co. (USA), Ltd, EDL (20 PCT stake) (Laos)",,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 21/3/2013; in 2016 project development agreement signed: http://www.nationmultimedia.com/news/aec/aec/30299001, ,,0101000020E61000006666666666065A40C1E270E657533440
1051,Nam Xan 1,Hydro,Planned,7,,,Laos,Intra Group (Laos),,,, ,Laos,Bolikhamxai,Viengthong,,Nam Kading-Xe Bang Fai combined,18.5269,104.292,"Actual location unknown, currently sited at locality in link/announcement", ,,World Bank,http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPDRHydropowerMappingInceptionReportWBESMAPJuly.pdf, ,,0101000020E6100000F46C567DAE125A402D431CEBE2863240
1052,Nam Xaynoi,Hydro,Planned,14,,,Thailand,Namsodsamlord Suemtaifahraynoi (Thailand),,,, ,Laos,Bolikhamxai,Viengthong,,Nam Kading-Xe Bang Fai combined,18.5061,104.286,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 31/12/2014, ,,0101000020E6100000C364AA6054125A409A7CB3CD8D813240
1053,Nam Xong,Hydro,Operational,6,,,Laos,"Government, Luangpaseuth Co (Laos)",,,, ,Laos,Vientiane [prefecture],Xaythany,,Nam Ngum,18.1125,102.708,"Actual location unknown, currently sited at locality in link/announcement", ,,World Bank,http://documents.worldbank.org/curated/en/160621508232662247/pdf/120466-ESM-P163979-PUBLIC-LaoPDRHydropowerMappingInceptionReportWBESMAPJuly.pdf, ,,0101000020E6100000BEC1172653AD5940B01BB62DCA1C3240
1054,Nam Xuang,Hydro,Operational,,,,,,,,, ,Laos,Vientiane [prefecture],Naxaithong,,Nam Ngum,18.245,102.464, , ,,WLE Mekong,https://wle-mekong.cgiar.org, ,,0101000020E61000008B6CE7FBA99D594002D4D4B2B53E3240
1055,Nam Yam,Hydro,Planned,5,,,South Korea,DMD Company Ltd (South Korea),,,, ,Laos,Louang Namtha,Namtha,,Nam Tha,21.0081,101.407,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E610000099BB96900F5A594099BB96900F023540
1056,Nam Yang,Hydro,Planned,5,,,Thailand,Pongpad Construction Transport and Hydropower Company Ltd (Thailand),,,, ,Laos,Xaignabouri,Xayabury,,Nam Huong,19.3964,101.523,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 28/6/2012, ,,0101000020E610000068226C787A6159402176A6D079653340
1057,Nam Yerng,Hydro,Planned,15,,,Thailand,Tamtum (Thailand),,,, ,Laos,Xékong,Lamarm,,Sekong,15.5769,107.006,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 27/6/2012, ,,0101000020E610000071AC8BDB68C05A402C82FFAD64272F40
1058,Nam Yerng 5,Hydro,Planned,8,,,Thailand,MP (Thailand),,,, ,Laos,Xékong,Lamarm,,Sekong,15.5769,107.006,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 02/05/2014, ,,0101000020E610000071AC8BDB68C05A402C82FFAD64272F40
1059,Nam Yerng 7,Hydro,Planned,12,,,Thailand,MP (Thailand),,,, ,Laos,Xékong,Lamarm,,Sekong,15.5769,107.006,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 16/07/2014, ,,0101000020E610000071AC8BDB68C05A402C82FFAD64272F40
1060,Nam Yong,Hydro,Planned,9,,,Thailand,Naktao 2010 Company (Thailand),,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 31/10/2013, ,,0101000020E61000006666666666065A40C1E270E657533440
1061,Nam Yong,Hydro,Planned,5,,,Thailand,Sukkasem Construction and Transport Company Ltd (Thailand),,,, ,Laos,Bolikhamxai,Viengthong,,Nam Kading-Xe Bang Fai combined,18.4369,104.472,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU 31/12/2014, ,,0101000020E6100000F54A5986381E5A407250C24CDB6F3240
1062,Nam Yong 8,Hydro,Operational,60,2012,,Norway; Thailand; Laos,"EDL 60 PCT (Laos), GMS Power 20 PCT (Thailand), Statkraf 20 PCT (Norway)",,,, ,Laos,Bolikhamxai,Khamkheuth,,Nam Kading-Xe Bang Fai combined,18.2947,104.642, , ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E61000000C022B8716295A4096218E75714B3240
1063,Namhtwan (Upper),Hydro,Operational,3.2,2019,,Myanmar,MOEP (Myanmar),,,Switzerland,STUCKY SA (Switzerland),Myanmar,Kachin,Putao,,Mali Hka,27.2698,97.4033, , ,,Myanmar Institute for Peace and Security,"https://www.mmbiztoday.com/articles/upper-namhtwam-hydropower-project-deliver-800-kilowatt-electricity-2018-april, https://www.globalnewlightofmyanmar.com/upper-namhtwam-hydropower-project-to-benefit-putao-residents/, https://www.globalnewlightofmyanmar.", ,,0101000020E610000060C8EA56CF595840DBC4C9FD0E453B40
1064,Namjae Tomlum 1,Hydro,Under Construction,15,2019,,Laos,Right To Lao (Laos),,,, ,Laos,Louang Namtha,Namtha,,Nam Tha,21.0081,101.407,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 26/7/2012, ,,0101000020E610000099BB96900F5A594099BB96900F023540
1065,Namjae Tomlum 2,Hydro,Under Construction,7.5,2019,,Laos,Right To Lao (Laos),,,, ,Laos,Louang Namtha,Namtha,,Nam Tha,21.0081,101.407,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 26/7/2012, ,,0101000020E610000099BB96900F5A594099BB96900F023540
1066,Namkha (Nam Hka),Hydro,Planned,210,,,China,China Southern Power Grid Yunnan International Co,,,, ,Myanmar,Shan,Lasho,,Nam Hka,21.7024,98.9521, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl, ,,0101000020E610000062A1D634EFBC5840B2BAD573D2B33540
1067,Namnom 1,Hydro,Under Construction,7.3,2018,,Thailand,Phongsapthawi and Chonlapathan Company Ltd (Thailand),,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E61000006666666666065A40C1E270E657533440
1068,Nampatay,Hydro,Under Construction,14,2016,,Laos,DSK,,,, ,Laos,Champasak,Pathoomphone,,Mekong Mainstream - Lower,14.6628,105.969,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E61000000B462575027E5A40C1E270E657532D40
1069,Nampatay (Lum),Hydro,Under Construction,3,2016,,Thailand,Visahasuanbukkhon Songsermhattaka (Thailand),,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E61000006666666666065A40C1E270E657533440
1070,Namperm 1,Hydro,Under Construction,9.2,2017,,Thailand,"Phongsapthawi Construction Company (Thailand), Devasatarn, Simsapatarn Ltd (Thailand)",,,, ,Laos,Houaphan,Xamneua,,Nam Sam (Laos) - Chu (Vietnam),20.3256,104.1,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E61000006666666666065A40C1E270E657533440
1071,Namsay,Hydro,Planned,5,,,Laos,Vientiane Tangmo Construction Ltd (Laos),,,, ,Laos,Bolikhamxai,Viengthong,,Nam Kading-Xe Bang Fai combined,18.5188,104.435,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E6100000B9FC87F4DB1B5A40A2D11DC4CE843240
1072,Namtabat 1 (Nam Tabak I),Hydro,Planned,141,,,China; Myanmar,"China Guodian, Tun Thwin Mining",,,China; Myanmar,China Guodian (China)/Tun Thwin Mining(Myanmar),Myanmar,Kachin,Myitkyina,,Irrawaddy Mainstem and Delta,25.0884,97.7182, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl, ,,0101000020E6100000E7525C55F66D5840CA54C1A8A4163940
1073,Namtabat 2 (Nam Tabak II),Hydro,Planned,144,,,China; Myanmar,"China Guodian, Tun Thwin Mining",,,China; Myanmar,China Guodian (China)/Tun Thwin Mining(Myanmar),Myanmar,Kachin,Myitkyina,,Irrawaddy Mainstem and Delta,25.1105,97.6772, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl, ,,0101000020E61000008CA19C68576B58403F355EBA491C3940
1074,Nancho,Hydro,Operational,40,2010,,China,Yunnan Machinery & Equipment Import & Export Co. (YMEC) (China),,,, ,Myanmar,Mandalay,Yamethin,,Paunglaung Chaung,19.7412,96.4505, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES, ,,0101000020E6100000344B02D4D41C584092CB7F48BFBD3340
1075,Nansha dam,Hydro,Operational,150,2010,,China,Honghe Guangyuan Development Co. Ltd.；,China,,China,"#2 Guangdong Water and Hydropower Bureau, Xiantou City Naiyuan Construction Co. Litd, Dongguan City Changyuan Co. Ltd",China,Yunnan,Honghe Hani and Yi,,Red Mainstem and Delta,23.2298,102.855, , ,,Global Power Plants Database, ,https://baike.baidu.com/item/%E5%8D%97%E6%B2%99%E6%B0%B4%E7%94%B5%E7%AB%99,,0101000020E61000001F85EB51B8B659407BF7C77BD53A3740
1076,Naopha (Naung Pha),Hydro,Planned,1200,,,China; Myanmar,"Power Construction Corporation (China), International Group of Entrepreneurs (Myanmar)",,,China,HydroChina Corp.,Myanmar,Shan,Lasho,,Salween Mainstem,22.9875,98.4992, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E61000001973D712F29F5840B01BB62DCAFC3640
1077,Naresuan Dam,Hydro,Operational,8,,,Thailand,EGAT (Thailand),,,, ,Thailand,Phitsanulok,Phrom Phiram,,Nan,17.053,100.172, , ,,EGAT,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=485, ,,0101000020E61000002575029A080B594021B07268910D3140
1078,Natcore (nhà máy điện mặt trời Natcore),Solar,Planned,200,2016,,USA,Natcore Technology (USA),,,, ,Vietnam,Bình Thuận,Phan Thiết,,Coastal Tributaries Binh Thuan-Ba Ria-Vung Tau,10.9329,108.112,"Actual location unknown, currently sited at locality in link/announcement", ,,EVN,https://gwsolar.vn/natcore-nhan-duoc-su-chap-thuan-xay-nha-may-dien-mat-troi-200mw-tai-viet-nam/, ,,0101000020E610000057EC2FBB27075B40CBD6FA22A1DD2540
1079,"National Power Plant 11 Co., Ltd.",Biomass,Unknown,11,,,Thailand,"National Power Plant 11 Co., Ltd.",,,, ,Thailand,Phetchabun,Wichian Buri,,Pasak,15.7246,101.299,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT,Black liquor,http://www.egat.co.th/en/images/statistics/2556/eng-private-power-plant-dec56.pdf,,0101000020E6100000BA490C022B53594034BF9A0304732F40
1080,"National Power Plant 2 Co., Ltd.",Biomass,Unknown,8,,,Thailand,"National Power Plant 2 Co., Ltd.",,,, ,Thailand,Phetchabun,Wichian Buri,,Pasak,15.7246,101.299,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT PDP,"Rice husk, wood chips",http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,,0101000020E6100000BA490C022B53594034BF9A0304732F40
1081,"National Power Plant 3 Co., Ltd",Biomass,Unknown,41,,,Thailand,"National Power Plant 3 Co., Ltd",,,, ,Thailand,Phetchabun,Wichian Buri,,Pasak,15.7246,101.299,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT PDP,"Rice husk, wood chips",http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,,0101000020E6100000BA490C022B53594034BF9A0304732F40
1082,"National Power Plant 5 Co., Ltd.",Biomass,Unknown,50,,,Thailand,"National Power Plant 5 Co., Ltd.",,,, ,Thailand,Phetchabun,Wichian Buri,,Pasak,15.7246,101.299,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT,"Bark, wood chips, black liquor",http://www.egat.co.th/en/images/statistics/2556/eng-private-power-plant-dec56.pdf,,0101000020E6100000BA490C022B53594034BF9A0304732F40
1083,National Solar Park Project,Solar,Under Construction,100,2021,,Cambodia,EdC,ADB,ADB,Cambodia,Prime Road Alternative,Cambodia,Kampong Chhnang,Kampong Chhnang,,Mekong Mainstrem - Lower Tonle Sap,12.2614,104.676, , ,,IUCN,https://www.adb.org/news/adb-partner-cambodia-launch-national-solar-park-program; https://www.adb.org/sites/default/files/project-documents/51182/51182-001-rp-en_2.pdf; https://www.adb.org/projects/51182-001/main#project-pds; https://www.adb.org/news/adb-partner-cambodia-launch-national-solar-park-program; https://www.adb.org/sites/default/files/project-documents/51182/51182-001-rp-en_2.pdf; https://www.adb.org/projects/51182-001/main#project-pds; https://www.phnompenhpost.co; https://www.khmertimeskh.com/714008/adb-supported-solar-project-on-the-horizon/; https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/, ,12:28:20,0101000020E6100000D734EF38452B5A40BD00FBE8D4852840
1084,Ngan Tae,Gas,Operational,230,2014,,Myanmar,Myanmar Lighting (Myanmar),Thailand; Singapore,Siamgas and Petrochemicals Public Company (Thailand); United Overseas Bank (Singapore),Singapore,Asiatech Energy (Singapore),Myanmar,Mon,Mawlamyine,,Zami,16.4665,97.6542, , ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/299, https://www.mmtimes.com/business/19130-private-gas-fired-power-project-adds-230mw-to-national-grid.html; https://www.mmtimes.com/business/21535-thai-firm-to-invest-in-mawlamyine-power-plant.html https://www.irra", ,,0101000020E6100000D6AD9E93DE6958400FEECEDA6D773040
